ASTEROIDIEN RATAELEMENTTEJA (kts triad_read.pro)
NUMBER   A    E   sinI    WBAR   NODE
   170     2.38000    0.0700    0.1780      324.70      327.80
   171     2.74300    0.1600    0.2430       16.30      150.20
   172     2.86100    0.1330    0.2350      244.40      324.90
   173     3.21200    0.1760    0.0570      330.80        2.50
   174     3.17800    0.1530    0.3930       16.30      203.60
   175     2.77000    0.1980    0.0400       28.10      314.70
   176     2.46000    0.0590    0.0220      224.40       24.80
   177     2.97200    0.0700    0.1570      350.30      255.80
   178     2.72200    0.1900    0.0340      136.40      290.50
   179     3.13200    0.1950    0.3250      114.40      151.80
   180     2.41600    0.1750    0.0190       67.90      123.90
   181     2.79500    0.1830    0.5030       40.20      141.10
   182     3.18300    0.1130    0.0380      187.40      304.00
   183     2.73900    0.0990    0.3890      356.30      154.70
   184     2.36200    0.0750    0.2220      334.30       12.30
   185     2.73200    0.2560    0.1830      210.00       12.80
   186     2.76200    0.1410    0.2270      295.60      242.60
   187     2.45000    0.0110    0.0980       89.80      211.90
   188     2.89600    0.0470    0.1920       38.00      164.90
   189     2.40300    0.2070    0.1300       16.60      333.50
   190     2.60000    0.2650    0.2520       80.00      345.70
   191     2.61600    0.1660    0.3060      322.20      164.10
   192     2.87900    0.0680    0.1230      154.50      358.50
   193     3.11400    0.0390    0.1080      216.70       68.50
   194     2.73900    0.1300    0.1370      309.30       78.70
   196     3.16700    0.1890    0.2490      252.60       90.90
   197     2.73700    0.0840    0.1360       70.70      318.80
   198     2.67800    0.1400    0.0940      315.30      168.20
   199     3.07200    0.1270    0.1390      146.00      143.10
   200     2.73700    0.0390    0.0640       84.20      331.50
   201     2.67100    0.1770    0.1560      247.70      210.00
   202     2.77700    0.0190    0.1950       94.90      217.10
   203     2.74000    0.0500    0.0560      135.20      161.20
   204     2.28400    0.0640    0.0580      183.80       20.50
   205     2.89300    0.0450    0.0370      170.80      332.10
   206     3.14800    0.0760    0.1320      227.10      351.50
   207     2.72200    0.0950    0.0850       60.20       20.80
   208     3.04400    0.1490    0.0880       90.40      268.20
   209     3.11300    0.0900    0.0940       74.20      307.70
   210     2.75400    0.1430    0.1030      267.80      128.70
   211     2.61100    0.0570    0.0690      143.70      328.00
   212     2.76700    0.0150    0.0290      252.30      346.90
   213     2.79500    0.2240    0.2350       40.10      220.80
   214     2.86900    0.2760    0.1880      312.10      175.00
   215     2.66700    0.1300    0.2640      208.60      173.00
   216     2.35400    0.1640    0.1980      346.80      206.70
   217     2.34900    0.2030    0.1590      334.00      258.20
   218     3.01200    0.0710    0.1740      318.90      147.00
   219     3.13500    0.1570    0.0190      247.00       57.70
   220     3.08900    0.1360    0.0270      124.40       10.80
   221     2.64500    0.0480    0.1070      233.90      343.50
   222     3.38200    0.1500    0.4210      300.70      203.10
   223     2.71200    0.1720    0.2680      279.90      140.20
   224     3.14500    0.2140    0.2010      221.90      321.10
   225     2.20100    0.1830    0.0530      330.70      299.50
   226     3.41100    0.1200    0.0360      319.30      356.50
   227     2.38200    0.0380    0.1770       65.50      241.50
   228     2.91900    0.1660    0.1050      244.30      339.60
   229     2.55300    0.2050    0.1000      194.20      159.70
   230     2.66000    0.0640    0.1470      343.20      228.00
   231     2.38600    0.1620    0.2510      340.00      147.30
   232     2.88200    0.0730    0.1410      242.50       62.10
   233     2.80000    0.1490    0.1340      358.40      195.90
   234     2.76300    0.0920    0.1520      247.60       83.10
   235     2.90700    0.1030    0.2180       41.40      185.00
   236     2.97000    0.1960    0.1070       32.00      191.00
   237     2.66400    0.1800    0.0200       64.60      136.50
   238     3.05000    0.0650    0.1180      333.60      272.40
   239     2.86400    0.1270    0.2140      131.70      213.30
   240     2.86200    0.0450    0.0360      122.60      300.60
   241     2.17400    0.1030    0.0600       39.80      212.50
   242     3.09100    0.1680    0.0740       33.50       53.50
   243     2.69500    0.1000    0.2690      230.20      165.80
   244     2.74200    0.1510    0.4460       42.90      353.70
   245     2.47200    0.0750    0.0860      225.80      251.20
   246     2.37800    0.1730    0.1810       23.50      328.20
